PI533798	22460875	915714	137107	705836
PI533799	26603488	1102799	427303	1040432
PI533800	25989870	1218277	478839	1152334
PI533802	22830608	984930	157671	769903
PI533803	21484341	1388685	212427	1075455
PI533804	18564467	1078296	158467	829826
PI533807	25337991	1386926	542344	1312431
PI533808	21207208	1076535	161283	831221
PI533809	21310516	1355420	219405	1056933
PI533810	24859175	1559666	609188	1475568
PI533811	22385352	1202839	211950	952083
PI533812	20180697	1182911	185285	919018
PI533813	20847059	1400215	227954	1093027
PI533814	24775926	1572694	684995	1539397
PI533816_1	21759292	1502224	258095	1181114
PI533816_2	21167619	1439411	234254	1121749
PI533818	18493478	1072032	139658	812894
PI533819	21968538	1009398	693783	1142145
PI533820	14234018	677271	107696	524443
PI533821	26763173	1198951	430414	1107933
PI533822	25721495	1337796	579736	1304912
PI533823	19490585	1085549	166436	840917
PI533824	24680795	1682471	612761	1558229
PI533825	21286234	1281072	206307	997996
PI533828	22675639	1379526	216722	1071451
PI533829	20414409	1245512	168963	948147
PI533830	19360001	919093	122004	697854
PI533831	25881399	1236141	521738	1197189
PI533832	23540482	1098470	185454	865082
PI533833	20316354	1279967	182045	979679
PI533834	19996057	844524	115341	644646
PI533835	18995085	733037	108216	565848
PI533836	18435987	888746	120772	676266
PI533837	20803727	866383	120695	662578
PI533838	25175240	1420511	659422	1419033
PI533839	22437804	2522285	1096256	2439820
PI533840	21477255	1278523	183506	982449
PI533841	22165679	914134	142716	704348
PI533842	25319083	1493766	592440	1420761
PI533843	25554033	1489459	685322	1475281
PI533844	17559899	876421	125846	670064
PI533846	14805909	790408	119094	610721
PI533847	16691016	735631	108444	564913
PI533848	9304035	478920	75385	371857
PI533849	22163075	1196303	202312	940324
PI533850	16136233	795712	112239	608281
PI533851	19140133	1101630	164926	847350
PI533852	21914605	1268609	184794	976110
PI533853	16063960	891217	110387	669987
PI533854	17730108	991896	156686	769524
PI533855	21854024	1044539	165599	808877
PI533856	21574859	1293869	204482	1003773
PI533857	20992962	1271254	186395	978800
PI533858	22213684	1201216	174707	924213
PI533859	17936795	1004876	135465	765280
PI533860	22513268	1012312	161549	788979
PI533861	20006909	1012874	129961	766032
PI533862	20890777	1718900	296404	1350987
PI533863	22891348	1075223	171252	833992
PI533864	21247556	1049268	150317	805485
PI533866	21608485	1280546	251638	1026200
PI533867	16586290	809632	106064	614212
PI533869	25445543	1333181	523223	1257257
PI533870	22065757	1348174	205462	1042388
PI533871	25471217	1457947	466994	1306549
PI533872	21514412	1381054	228477	1078164
PI533873	18216684	974917	131529	740717
PI533874	21846332	1303862	197016	1007058
PI533876	22398886	1295176	200290	1003255
PI533877	20504439	1302136	179005	991766
PI533878	25037227	1453900	586482	1386150
PI533879	16436646	984467	134586	748919
PI533880	20379220	1161336	161951	886493
PI533881	21353032	1368938	206260	1056076
PI533882	24628127	1654568	605439	1529041
PI533884	21600489	1301767	194583	1003839
PI533885	21504029	1313644	195263	1012293
PI533887	19169347	1144330	165146	877617
PI533888	23236074	1128910	189811	885714
PI533893	18992167	1014923	130972	768009
PI533894	20741993	1247434	173135	954140
PI533895	19209465	968979	137168	743142
PI533897	22473544	1209999	222287	962182
PI533898	22243787	1339322	217787	1047036
PI533899	21910905	1322626	196374	1018624
PI533900	22454379	1316652	222608	1034813
PI533901	25993539	1239743	524212	1194558
PI533902	19118173	1563309	221205	1191171
PI533903	23966557	1912780	757071	1811896
PI533904	21055378	1704880	283715	1332987
PI533905_1	21563166	1354879	207703	1047109
PI533905_2	21743881	1375365	214585	1065922
PI533906	15661450	938596	125864	712121
PI533907	21069587	1574437	262850	1231418
PI533908	20850940	1752843	275302	1358745
PI533909	19059500	862128	131301	667480
PI533910	26084796	1235805	589183	1247628
PI533911	25721094	1250077	565591	1233184
PI533912	25577457	1330257	557525	1285368
PI533913	25312591	1471077	595924	1400591
PI533914	23183425	1066691	177667	834063
PI533915	25602261	1313864	460037	1198601
PI533916	22265490	1376192	221639	1070876
PI533917	21576314	1408616	209763	1085290
PI533918	22830411	995994	161106	778607
PI533919	24397553	1703940	678672	1615291
PI533920	17997066	1254995	166930	950729
PI533921	24455595	1654127	629644	1542435
PI533922	20110855	1527024	238833	1183431
PI533923	14668999	662818	95944	508812
PI533924	20039399	1578580	236615	1213022
PI533925	21062040	1522169	240650	1180651
PI533926	22191718	811351	121463	623166
PI533927	24830507	1614225	675124	1551717
PI533928	21251358	855777	125735	656231
PI533929	23201204	1045031	186730	821938
PI533930	22847682	1104208	194627	875362
PI533931	21554731	1359165	210425	1053795
PI533932	20910234	1205095	179505	927599
PI533934	14340261	689139	112162	537109
PI533935	16771603	1041419	147282	795637
PI533936	26668608	1127022	456233	1073091
PI533937	26741239	1087553	454782	1044909
PI533938	24783783	1373514	528714	1284939
PI533939	22524538	1057260	156325	814059
PI533940	26459795	1176441	418650	1077345
PI533941	17389011	780626	106380	592002
PI533942	17516691	1063454	151775	814989
PI533943	25101899	1445387	603453	1392495
PI533944	20963324	1388833	232605	1089726
PI533946	14002072	598981	91444	462279
PI533947	17169726	1009169	142160	772640
PI533948	27393416	831023	362132	808493
PI533949	26451895	1134865	415075	1055220
PI533950	13983319	792079	102940	600686
PI533951	21330634	1307273	196688	1009317
PI533952	23287580	952747	173146	755019
